Date,Headline,Constituency,District,Leader,Party,Topic,Source
13-06-2026,"Delhi Police Mandates Joint Foot Patrols On Weekends, 2 Weekdays",Delhi,Delhi,General Political News,Multi-Party,Law & Order,NDTV
13-06-2026,"Cancer Patient, 3, Dies As Nurse Injects Him With Formalin At AIIMS Bhopal",National,India,General Political News,Multi-Party,Technology,NDTV
13-06-2026,"Tamil Nadu Man Befriended Women, Made Them Share Private Videos, Arrested",Tamil Nadu,Tamil Nadu,General Political News,Multi-Party,Law & Order,NDTV
13-06-2026,Karnataka Farmer Hits Official With Slipper Over Delayed Compensation,Karnataka,Karnataka,General Political News,Multi-Party,Agriculture,NDTV
13-06-2026,"AI, Space Exploration, Brain Implants: Inside Elon Musk's Business Empire",National,India,General Political News,Multi-Party,Politics,NDTV
13-06-2026,"Most Congress Breakaways Succeeded, BJP Rebels Failed: A History Of Revolts",National,India,General Political News,Multi-Party,Politics,NDTV
13-06-2026,"11-Foot Shark Mauls Woman In Sydney, She Grabs Onto Paddleboat To Escape",National,India,General Political News,Multi-Party,Women,NDTV
13-06-2026,"""Like Son"": Kalyan Banerjee On Abhishek Banerjee After ""Him Or Me"" Ultimatum",National,India,Abhishek Banerjee,TMC,Education,NDTV
13-06-2026,"Aim, Then Boom: Trump Shares Footage Of Strike On Venezuelan Cartel Leader",National,India,General Political News,Multi-Party,Technology,NDTV
13-06-2026,Pak's Shehbaz Sharif Says US-Iran Deal Likely To Be Finalised In 24 Hours,National,India,General Political News,Multi-Party,General,NDTV
13-06-2026,College Sends Medical Student On 15-Day Forced Leave After Cadaver Remark Row,National,India,General Political News,Multi-Party,Education,NDTV
13-06-2026,"Automatic Weapons, 13 Bullets: Daring Chandigarh Murder Caught On Camera",National,India,General Political News,Multi-Party,Law & Order,NDTV
13-06-2026,Iran's Ali Khamenei To Be Buried In Hometown Mashhad On July 9,National,India,General Political News,Multi-Party,General,NDTV
13-06-2026,"15 Weeks, 5,000 Strikes: How US-Iran War Spiralled Across Middle East",National,India,General Political News,Multi-Party,Politics,NDTV
13-06-2026,Mag 7 To MANGOS? SpaceX May Push Wall Street To Rename Tech Stock Bundle,National,India,General Political News,Multi-Party,Politics,NDTV
13-06-2026,No New Aadhaar For Those Above 18 In Assam Without Extra Verification Step,Assam,Assam,General Political News,Multi-Party,General,NDTV
13-06-2026,"US-Iran War Live: ""Finalisation Likely Expected In The Next 24 Hours"", Pak PM On US-Iran Deal",National,India,General Political News,Multi-Party,General,NDTV
13-06-2026,Armoured Corps To Counter-Insurgency: Next Army Chief's 4-Decade Career,National,India,General Political News,Multi-Party,General,NDTV
13-06-2026,Siachen Runs To Deadly Accidents: History Of AN-32 Which Crashed Today,National,India,General Political News,Multi-Party,General,NDTV
13-06-2026,"Lt General Dhiraj Seth Named Army Chief, To Succeed General Upendra Dwivedi",National,India,General Political News,Multi-Party,General,NDTV
13-06-2026,Blockade violation won't be tolerated: Rubio to Jaishankar as India protests attacks,National,India,General Political News,Multi-Party,Technology,India Today
13-06-2026,"5 IAF personnel killed after aircraft crashes in Assam's Jorhat, co-pilot survives",Assam,Assam,General Political News,Multi-Party,Technology,India Today
13-06-2026,Imports under the price cap: Finland Minister defends India's Russian oil buys,National,India,General Political News,Multi-Party,Politics,India Today
13-06-2026,"Live, 1st ODI: Gurnoor stars as India restrict Afghanistan to 194",National,India,General Political News,Multi-Party,General,India Today
13-06-2026,Punjab civic polls: Early edge to Congress as counting proceeds amid tight security,Punjab,Punjab,General Political News,Multi-Party,Politics,India Today
13-06-2026,Can Carlo Ancelotti end Brazil's 24-year wait or is World Cup a different game?,National,India,General Political News,Multi-Party,Technology,India Today
13-06-2026,He had 3 countries. Folarin Balogun chose US and scored twice on World Cup debut,National,India,General Political News,Multi-Party,General,India Today
13-06-2026,"No India at the FIFA World Cup, but 4 Indian-origin stars are ready to shine",National,India,General Political News,Multi-Party,General,India Today
13-06-2026,Tom Cruise to Beckham: Stars who stole the spotlight at USA's World Cup opener,National,India,General Political News,Multi-Party,Politics,India Today
13-06-2026,"Cashier shot dead by masked gunmen at Chandigarh shop, police suspect old rivalry",National,India,General Political News,Multi-Party,Politics,India Today
13-06-2026,El Nino has arrived: What is Indian Ocean Dipole that can save monsoon?,National,India,General Political News,Multi-Party,General,India Today
13-06-2026,Why US govt banned all foreigners from using Anthropic Claude Fable 5 & Mythos,National,India,General Political News,Multi-Party,General,India Today
13-06-2026,"Maharashtra coach rapes teen trainee for 3 years, films abuse to blackmail her",Maharashtra,Maharashtra,General Political News,Multi-Party,Environment,India Today
13-06-2026,"What crashed Air India Flight AI-171? A long year of questions, no answer",National,India,General Political News,Multi-Party,Technology,India Today
13-06-2026,From India Today archives (1998) | L.N. Mittal: Steely fortunes,National,India,General Political News,Multi-Party,General,India Today
13-06-2026,"As Kerala handles first Nipah virus case of 2026, a debate over source of infection",Kerala,Kerala,General Political News,Multi-Party,General,India Today
13-06-2026,Waking up at 3 am every night? Your body is dropping a big hint,National,India,General Political News,Multi-Party,General,India Today
13-06-2026,How a key organisational pick marks Rajasthan BJP's shift to poll mode,Rajasthan,Rajasthan,General Political News,Multi-Party,Politics,India Today
13-06-2026,"No India at the FIFA World Cup, but 4 Indian-origin stars are ready to shine",National,India,General Political News,Multi-Party,General,India Today
13-06-2026,"Can Rs 30,000 measure a homemaker's labour? Women weigh in on the Supreme Court ruling",National,India,General Political News,Multi-Party,Law & Order,India Today
13-06-2026,Ashok Leyland donates truck worth ₹31 lakh to Tirumala temple,National,India,General Political News,Multi-Party,General,The Hindu
13-06-2026,Monsoon 2026 LIVE: IMD forecasts thunderstorm in 11 districts of Telangana,Telangana,Telangana,General Political News,Multi-Party,General,The Hindu
13-06-2026,I am awaiting clarity before taking charge of portfolio: Krishna Byre Gowda,National,India,General Political News,Multi-Party,Technology,The Hindu
13-06-2026,P&T apartment residents to hit protest path again,National,India,General Political News,Multi-Party,Technology,The Hindu
13-06-2026,Teachers’ body seeks TET exemption for pre-RTE recruits,National,India,General Political News,Multi-Party,General,The Hindu
13-06-2026,Protests in Jammu against killing of civilians in PoK,National,India,General Political News,Multi-Party,Technology,The Hindu
13-06-2026,Bharath urges youth to seize opportunities at job melas,National,India,General Political News,Multi-Party,Employment,The Hindu
13-06-2026,State cancels Kerala Waqf Board CEO posting,Kerala,Kerala,General Political News,Multi-Party,General,The Hindu
13-06-2026,Nipah containment steps gather pace in Ramanattukara,National,India,General Political News,Multi-Party,Technology,The Hindu
13-06-2026,Three close contacts of Nipah-infected person in Kozhikode test negative for virus,National,India,General Political News,Multi-Party,General,The Hindu
13-06-2026,No new Aadhaar cards for adults in Assam without special verification process,Assam,Assam,General Political News,Multi-Party,Politics,The Hindu
13-06-2026,"11 Indian sailors convicted, ship fined $5.3 million for cocaine trafficking in Nigeria",National,India,General Political News,Multi-Party,Technology,The Hindu
13-06-2026,A roadmap for Kerala’s agricultural transformation,Kerala,Kerala,General Political News,Multi-Party,Infrastructure,The Hindu
13-06-2026,No fresh shigellosis cases reported in Wayanad,National,India,General Political News,Multi-Party,General,The Hindu
13-06-2026,Rowdy-sheeter found murdered in Shivamogga,National,India,General Political News,Multi-Party,Law & Order,The Hindu
13-06-2026,Sabarimala gold theft case: SIT issues notice to former TDB president P.S. Prashanth,National,India,General Political News,Multi-Party,General,The Hindu
13-06-2026,Passengers seek extension of two trains from north Karnataka districts to KSR Bengaluru station,Karnataka,Karnataka,General Political News,Multi-Party,Environment,The Hindu
13-06-2026,"KSCA plans year-long training for moffusil cricketers, Maharaja Trophy matches in Hubballi from June 27",National,India,General Political News,Multi-Party,Environment,The Hindu
13-06-2026,"In daylight murder, masked men riddle pharmacy cashier with 13 rounds in Chandigarh",National,India,General Political News,Multi-Party,Law & Order,The Hindu
13-06-2026,"SHABD-26 art, literary fest under way at JSS STU",National,India,General Political News,Multi-Party,General,The Hindu
